system:index,DTM_10m,aspect,dtm10_focal,hillshade,isothermality,ndvi,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,slope,soil_bd,soil_carbon,soil_ph,soil_sand,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,x,y,.geo
49,211.73517,220.81636378981807,2.780040780768842,184.4393291792843,23.0,0.741,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,2.3101605141042487,149,10,54,62,260.0,-34.0,62.0,-5.0,194.0,54.0,-66.0,7051.0,147.0,106.0,11.585700510413185,59.23645832795054,
50,210.23625,110.4860865133225,2.6273889767030276,176.12092415498745,23.0,0.7043,172.0,44.0,140.0,830.0,25.0,242.0,93.0,269.0,3.276749655701287,151,7,51,65,259.0,-33.0,62.0,-4.0,193.0,55.0,-66.0,7021.0,147.0,107.0,11.564629006713856,59.2343749946174,
51,204.64679,151.3632611691698,1.8461584360102246,178.11919944013965,23.0,0.71,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,1.817510457954308,156,7,50,64,260.0,-33.0,62.0,-4.0,194.0,55.0,-66.0,7028.0,147.0,106.0,11.56870177621779,59.2343749946174,
52,203.5412,130.61513271832595,1.4039870358592625,177.83583590400667,23.0,0.7022,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,1.2567088785832967,157,8,53,60,260.0,-33.0,62.0,-4.0,194.0,55.0,-66.0,7028.0,147.0,106.0,11.572774545721659,59.2343749946174,
53,202.0321,192.3680938513254,2.6533245506329757,181.48029113436746,23.0,0.7166,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,1.564359340173465,150,10,54,59,259.0,-34.0,62.0,-4.0,193.0,54.0,-66.0,7027.0,146.0,107.0,11.57684731522559,59.2343749946174,
54,204.2008,191.76439849345678,3.5203745587327435,181.94150944458738,23.0,0.7433,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,2.827607252837784,149,11,53,60,259.0,-34.0,62.0,-4.0,193.0,54.0,-66.0,7027.0,146.0,107.0,11.580920084729524,59.2343749946174,
55,207.83078,210.0153652959814,3.577476049418386,183.8788488696051,23.0,0.7529,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,2.993193063151907,150,10,51,62,260.0,-34.0,62.0,-5.0,194.0,54.0,-66.0,7051.0,147.0,106.0,11.584992854233459,59.2343749946174,
56,211.5882,190.08438447150277,3.0409235988967476,181.98926507962918,23.0,0.7483,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,2.297411221640134,148,7,51,63,260.0,-34.0,62.0,-5.0,194.0,54.0,-66.0,7051.0,147.0,106.0,11.589065623737392,59.2343749946174,
57,213.295,120.40606788526588,4.0387713143838715,169.6656908603832,24.0,0.7111,172.0,44.0,140.0,830.0,25.0,242.0,93.0,269.0,4.0866902373982645,146,5,52,61,258.0,-33.0,62.0,-4.0,193.0,55.0,-65.0,6999.0,147.0,107.0,11.555777654496584,59.23229166128424,
58,212.61118,166.84344525540428,1.8640718668248903,179.28436586321376,23.0,0.6964,172.0,44.0,140.0,830.0,25.0,242.0,93.0,269.0,2.1432026992159123,152,8,51,62,259.0,-33.0,62.0,-4.0,193.0,55.0,-66.0,7010.0,147.0,107.0,11.563922696014965,59.23229166128424,
