soil_ph,soil_bd,DTM_10m,slope,temp_seasonality,soil_sand,rain_warmestQuart,soil_carbon,isothermality,aspect,ndvi,id
59,131,880.3833,0.22102372008021162,7988,53,246,5,25,77.59477887136349,0.5372,48182
55,133,622.60815,1,8064,51,247,3,25,294.31081623270563,0.7137,30571
62,142,738.7719,4.296944773995084,7924,54,244,8,24,134.35424125704492,0.4641,42521
53,143,655.3601,21.62198475042695,7202,55,255,6,27,137.12166147454246,0.711,74522
54,128,857.06714,8.880879677945618,6430,56,275,4,28,47.008646576606566,0.7187,14745
55,129,964.97534,4.101376146936557,7767,53,264,3,27,81.91645431842572,0.7601,25946
56,114,672.65155,32.48812002603892,5269,48,202,18,29,85.46367663498877,0.8754,80340
57,113,855.13855,6.2717063380909215,7924,57,256,4,24,266.80097783144333,0.57565,43928
55,149,758.74615,15.937400864095133,7575,51,262,1,27,223.5665053134856,0.7722,6601
49,94,1016.635,31.986994802607153,5466,49,395,12,27,241.69362739898835,0.7271,57701
51,129,854.8832,2.364108115450184,8021,53,259,1,25,157.97639600760004,0.6395,53518
55,130,112.735725,19.201431438554717,5754,64,286,6,23,213.85681948730874,0.7884,72326
52,107,847.91846,1.5813658152984225,7962,58,268,5,25,223.88882517605055,0.7134,52353
58,134,417.4015,13.277741751638958,6727,54,247,15,25,53.24611531532028,0.8069,66154
52,113,830.2721,11.271180112604688,7967,56,251,6,25,184.29147146095838,0.5914,47802
54,143,464.6244,5.185185515812276,7905,60,256,7,25,202.96566762600875,0.77285,31517
52,125,787.0599,6.428137557463553,6172,56,314,3,25,92.90997689839007,0.7332,66075
53,150,483.5491,4.832308201815329,7848,61,258,7,24,148.71818924053568,0.73105,32263
52,132,604.6093,14.167863981450836,6013,60,311,5,24,75.73894574901034,0.7592,69161
56,148,696.9866,19.733819478676917,5271,57,246,12,28,167.718389523482,0.8299,81118
52,125,622.2347,8.666253161584546,5588,56,373,7,23,143.48648555746982,0.7295,56157
60,124,1035.3049,4.985224243637547,7301,50,265,1,27,149.51046650353516,0.6561,19392
59,124,764.91815,7.228855943923447,8060,56,236,4,25,59.422053545304756,0.5867,46137
51,144,414.4199,11.941576663843817,6576,60,253,4,25,227.95165284364492,0.723,67747
54,143,614.5321,6.525231360252945,8156,60,252,4,27,80.31620052571937,0.73735,2286
48,126,148.1206,23.97179149402354,5090,63,480,8,27,260.52549915793736,0.7938,59970
55,135,831.2174,6.731725302853992,5757,62,239,4,28,179.38392328989553,0.7417,84298
59,104,14.152709,8.407775358899274,5020,42,351,28,25,199.92188915611598,0.8353,54661
53,147,483.18417,4.218463320710106,7858,58,259,5,24,222.53603393485665,0.70525,32281
52,120,250.38095,51.42730930743689,4347,62,361,9,28,130.93686849703778,0.8704,64085
53,141,551.0398,10.769550699075408,7630,59,263,7,25,220.78384990795652,0.78705,7826
